# SMA Pointing Sources
# from http://sma1.sma.hawaii.edu/callist/callist.html
# 2024-01-15
#commonName,name,ra,dec,freq,date,obs,flux
--,0533+483,05:33:15.8657,+48:22:52.807,"['1mm', '850µm']","['23 Feb 2023', '09 Jun 2022']","['SMA', 'SMA']","['0.15 ±  0.01', '0.15 ±  0.02']"
--,0538-440,05:38:50.3615,-44:05:08.939,"['1mm', '850µm']","['06 Oct 2023', '30 Dec 2009']","['SMA', 'SMA']","['2.52 ±  0.09', '5.12 ±  0.26']"
--,0539+145,05:39:42.3659,+14:33:45.561,"['1mm', '850µm']","['11 Jan 2023', '04 Jan 2006']","['SMA', 'SMA']","['0.18 ±  0.01', '0.34 ±  0.05']"
--,0539-286,05:39:54.2814,-28:39:55.947,"['1mm', '850µm']","['05 Apr 2019', '13 Feb 2013']","['SMA', 'SMA']","['0.24 ±  0.01', '0.42 ±  0.05']"
--,0541-056,05:41:38.0833,-05:41:49.428,"['1mm', '850µm']","['23 Jan 2016', '29 Dec 2006']","['SMA', 'SMA']","['0.19 ±  0.01', '0.50 ±  0.03']"
--,0541+474,05:41:49.2454,+47:29:07.611,"['1mm', '850µm']","['06 Aug 2023', '19 Feb 2013']","['SMA', 'SMA']","['0.19 ±  0.01', '0.18 ±  0.03']"
3c147,0542+498,05:42:36.1379,+49:51:07.233,"['1mm', '850µm']","['29 Aug 2018', '24 Feb 2016']","['SMA', 'SMA']","['0.36 ±  0.03', '0.32 ±  0.05']"
--,0555+398,05:55:30.8056,+39:48:49.165,"['1mm', '850µm']","['06 Aug 2023', '19 Jan 2022']","['SMA', 'SMA']","['0.28 ±  0.02', '0.20 ±  0.03']"
--,0605+405,06:05:50.8553,+40:30:08.103,"['1mm', '850µm']","['27 Jan 2023', '04 Feb 2013']","['SMA', 'SMA']","['0.44 ±  0.02', '0.16 ±  0.03']"
--,0607-085,06:07:59.6992,-08:34:49.978,"['1mm', '850µm']","['13 Apr 2023', '13 Jan 2022']","['SMA', 'SMA']","['0.74 ±  0.06', '0.48 ±  0.04']"
--,0608-223,06:08:59.6868,-22:20:20.955,"['1mm', '850µm']","['24 Jan 2023', '24 Feb 2016']","['SMA', 'SMA']","['0.21 ±  0.01', '0.17 ±  0.06']"
--,0609-157,06:09:40.9495,-15:42:40.672,"['1mm', '850µm']","['14 Sep 2023', '16 Oct 2021']","['SMA', 'SMA']","['0.85 ±  0.04', '0.49 ±  0.04']"
--,0625+146,06:25:45.9187,+14:40:19.550,"['1mm', '850µm']","['23 Feb 2023', '19 Jan 2022']","['SMA', 'SMA']","['0.06 ±  0.01', '0.09 ±  0.02']"
--,0629-199,06:29:23.7618,-19:59:19.723,"['1mm', '850µm']","['24 Jan 2023', '13 Jan 2022']","['SMA', 'SMA']","['0.38 ±  0.02', '0.35 ±  0.04']"
--,0646+448,06:46:32.0259,+44:51:16.590,"['1mm', '850µm']","['22 Aug 2023', '05 Jan 2021']","['SMA', 'SMA']","['0.33 ±  0.02', '0.24 ±  0.03']"
--,0648-307,06:48:14.0964,-30:44:19.659,['1mm'],['07 Sep 2018'],['SMA'],['0.78 ±  0.04']
--,0650-166,06:50:24.5818,-16:37:39.725,['1mm'],['17 Mar 2023'],['SMA'],['0.78 ±  0.04']
--,0710+475,07:10:46.1049,+47:32:11.142,"['1mm', '850µm']","['23 Feb 2023', '16 Oct 2021']","['SMA', 'SMA']","['0.19 ±  0.01', '0.14 ±  0.03']"
--,0717+456,07:17:51.8524,+45:38:03.261,"['1mm', '850µm']","['09 Jun 2023', '04 Jan 2006']","['SMA', 'SMA']","['0.22 ±  0.02', '0.22 ±  0.05']"
--,0721+713,07:21:53.4484,+71:20:36.363,"['1mm', '850µm']","['04 May 2023', '07 Jun 2018']","['SMA', 'SMA']","['0.76 ±  0.04', '2.46 ±  0.13']"
--,0725+144,07:25:16.8077,+14:25:13.746,['1mm'],['27 Oct 2010'],['SMA'],['0.41 ±  0.02']
--,0725-009,07:25:50.6399,-00:54:56.544,"['1mm', '850µm']","['06 Oct 2023', '31 Jan 2021']","['SMA', 'SMA']","['1.73 ±  0.06', '1.06 ±  0.05']"
--,0730-116,07:30:19.1124,-11:41:12.600,"['1mm', '850µm']","['08 Jun 2023', '22 Jan 2017']","['SMA', 'SMA']","['0.60 ±  0.03', '0.85 ±  0.05']"
--,0733+503,07:33:52.5205,+50:22:09.062,"['1mm', '850µm']","['02 Jun 2023', '16 Oct 2021']","['SMA', 'SMA']","['0.16 ±  0.03', '0.27 ±  0.03']"
--,0738+177,07:38:07.3937,+17:42:18.998,"['1mm', '850µm']","['09 Jun 2023', '05 Jan 2021']","['SMA', 'SMA']","['0.80 ±  0.03', '0.36 ±  0.03']"
--,0738-064,07:38:57.1755,-06:26:58.056,['1mm'],['02 Jun 2023'],['SMA'],['0.07 ±  0.03']
--,0739+016,07:39:18.0338,+01:37:04.618,"['1mm', '850µm']","['06 Oct 2023', '20 Mar 2014']","['SMA', 'SMA']","['1.23 ±  0.04', '1.03 ±  0.06']"
--,0741+312,07:41:10.7033,+31:12:00.228,"['1mm', '850µm']","['13 Apr 2023', '07 Dec 2013']","['SMA', 'SMA']","['0.51 ±  0.05', '0.32 ±  0.03']"
--,0745+317,07:45:41.6715,+31:42:56.615,['1mm'],['23 Feb 2023'],['SMA'],['0.05 ±  0.01']
--,0747+766,07:47:14.6075,+76:39:17.271,"['1mm', '850µm']","['08 Jun 2023', '07 Jun 2018']","['SMA', 'SMA']","['0.04 ±  0.01', '0.09 ±  0.03']"
--,0747-331,07:47:19.6883,-33:10:47.127,"['1mm', '850µm']","['05 Apr 2019', '07 Jun 2018']","['SMA', 'SMA']","['0.84 ±  0.04', '0.82 ±  0.06']"
--,0748+240,07:48:36.1092,+24:00:24.110,"['1mm', '850µm']","['14 Sep 2023', '23 Nov 2021']","['SMA', 'SMA']","['0.64 ±  0.04', '0.41 ±  0.05']"
--,0750+482,07:50:20.4363,+48:14:53.556,"['1mm', '850µm']","['09 Jun 2023', '05 Jan 2021']","['SMA', 'SMA']","['0.16 ±  0.02', '0.14 ±  0.02']"
--,0750+125,07:50:52.0457,+12:31:04.828,"['1mm', '850µm']","['06 Oct 2023', '16 Oct 2021']","['SMA', 'SMA']","['1.06 ±  0.03', '0.88 ±  0.06']"
